name,artist,theme,lyrics
Make a Move,Lawrence,crush,"Oh, hello there, would it be okay If I asked you your name? Or should I be ashamed If I asked you your name? 'Cause I heard it's ugly to be forward But cute to be lame That's the rules of the game But I don't wanna be lame Thinking about you Thinking about you But am I allowed to? Maybe this is news to you, but I've been told not to, make a move I'm done hesitating, sick of Waiting for you to (ooh), make a move (ooh) Make a move (ooh) Make a move, ooh, yeah Would it be unladylike and manly To message you first? (Hm) Would you think I'm the worst (would you think I'm) If I messaged you first? (And now, I'm) Thinking about you, thinking about you But am I allowed to? Maybe this is news to you, but I've been told not to, make a move I'm done hesitating, sick of Waiting for you to (ooh), make a move (ooh) Make a move (ooh) Make a move (ooh) And now I'm waiting (ooh) And now I'm waiting for you to (uh) And now I'm waiting for you to (now I'm waiting for ya) And now I'm waiting (waiting for) for you to And now I'm-, 'cause now Thinking about you, thinking about you Thinking about you, I'm thinking about you I'm thinking about you (you), I'm thinking about you But am I allowed to? Oh Maybe this is news to you, but I've been told not to, make a move I'm done hesitating, sick of Waiting for you to Maybe this is news to you, but I've been told not to, yeah You know, I hate this game we're playing and I'm not waiting (for) for you to (I'm not waiting for you to), ooh Make a move (ooh), make a move (ooh, yeah) I'm not waiting for you to (ooh, I'm not waiting) Make a move (no, I'm not, ooh), make a move (ooh) I'm not waiting for you (ooh) to"
Make You Mine,The Drums,crush,Oh baby i dont know what to do with myself Oh honey i dont know what to do with myself Im sleeping in the kitchen Im eating in the bedroom And everything is backwards I wish i never met you And i dont know what to do When i see you holding some one elses hand And i dont know what to say Cause when i open my mouth i always sound so stupid How am i gonna make you mine How am i gonna make you mine Oh baby i dont know how you live with yourself Sweet honey you know i dont want no body else Im sleeping through the day Im moping? through the night I hope you love me some day So i can hold you through the night And i dont know what to do When i see you holding some one elses hand And i dont know what to say Cause when i open my mouth i always sound so stupid How am i gonna make you mine How am i gonna make you mine And i dont know what to do When i see you holding some one elses hand And i dont know what to say cause when i open my mouth i always sound so stupid And i dont know what to do When i see you holding some one elses hand And i dont know what to say Cause when i open my mouth i always sound so stupid How am i gonna make you mine How am i gonna make you mine
Malibu 1992,COIN,moving on,"I watched you board an airplane A high dive from a summer's heat wave, down A bit tongue and a taste of iron Sweethearts that high school soured, now Our time had grown to a closing You moved when you ran out of money to stay Your parents' house in Ohio Your old bed replaced with a treadmill, now Well I come here more than you know And I'm sure you think I've outgrown you But I couldn't Oh, I did it again, I did it again Oh, I did it again, I did it again Oh, I must still want you Our names carved in the pavement Sealed by what's left of our handprints, now I told my mom she'd love to meet you But it's too bad she won't get the chance to Oh, I did it again, I did it again Oh, I did it again, I must still want you And I might be part to blame And I might be part to blame You're some old man's new trophy Locked up in some house in New Jersey Now money's not a problem But 20 years it seems you've forgotten Malibu, '92"
Mangos,Shallow Alcove,mental health,I went to the mall to return my body But they told me itd been more than 30 days I went to the beach to get more happy But I cried the whole vacation away I always wanted to see the world But as I stand here on this old cobblestone I realize I wish I was back in grade school Playing in my neighbors front lawn And with all these miles clocked under my belt Oh I hardly miss you I just miss myself I used to hope for the window seat And Id admire all the clouds below me Now I pay extra for the aisle And all I got is this irrational worry Just when it gets to the perfect length I know that I am gonna wanna chop my hair Sitting in a charming European square I learn that sadness can find you anywhere In the evening Im convinced that I might die When the morning comes Im glad Im still alive And with all these miles clock under my belt Oh I hardly miss you I just miss myself When I was a kid I hated mangos Now I sit on an Italian park bench Wondering where did all the time go Sticky mango juice dripping down my chin And in that moment I realized how much I have the capacity to change Tears went streaming down my face cause Maybe I dont have to die this way
Maniac ,Conan Gray,toxic relationship,You were with your friends partying When the alcohol kicked in Said you wanted me dead So you show up at my home all alone With a shovel and a rose Do you think Im a joke? Cause People like you always want back what they cant have But Im past that and you know that So you should turn back to your rat pack tell em Im trash Tell all of your friends that Im crazy and drive you mad That Im such a stalker a watcher a psychopath And tell them you hate me and dated me just for laughs So why do you call me and tell me you want me back? You maniac you maniac Maniac some may say that Im you maniac Maniac some may say that Im you maniac Maniac some may say that Im You just went too far Wrecked your car called me crying in the dark Now youre breaking my heart So I show up at your place right away Wipe the tears off of your face While you beg me to stay well People like you always want back what they cant have But Im past that and you know that So you should turn back to your rat pack tell em Im trash Tell all of your friends that Im crazy and drive you mad That Im such a stalker a watcher a psychopath And tell them you hate me and dated me just for laughs So why do you call me and tell me you want me back? You maniac you maniac Maniac some may say that Im you maniac Maniac some may say that Im you maniac Maniac some may say that Im Psychopathic dont be so dramatic We had magic but you made it tragic Now youre manic honestly Ive had it Listen to yourself think you need to get some help Tell all of your friends that Im crazy and drive you mad That Im such a stalker a watcher a psychopath And tell them you hate me and dated me just for laughs So why do you call me and tell me you want me back? You maniac you maniac Maniac some may say that Im you maniac Maniac some may say that Im you maniac Maniac some may say that Im
Margaret,Lana Del Rey,love,This is a simple song gonna write it for a friend My shirt is inside out Im messy with the pen He met Margaret on our rooftop she was wearing white And he was like I might be in trouble He had flashes of the good life He was like Should I jump off this building now or do it on the double? Cause baby if your love is in trouble Baby if your love is in trouble Baby if your love is in trouble When you know you know When you know you know It kinda makes me laugh runnin down that path When youre good as gold Cause when you know you know Word to all my friends With their red flags their white knights Their black eyes and their blue lies If youre asking yourself How do you know? Then thats your answer the answer is No You gotta run run run run like your heads on fire Run away like your head is on fire Cause baby if your love is in trouble Baby if your love is in trouble Baby if your love is in trouble When you know you know When you know you know It kinda makes me laugh runnin down that path When youre good as gold Cause when you know you know When youre old youre old Like Hollywood and me the diamond on your ring The soul that you bring to the table One that makes me sing In a minor key Cause when you know you know When you know you know So if you dont know dont give up Cause you never know what the new day might bring Maybe tomorrow youll know Maybe tomorrow youll know Maybe tomorrow youll know I mean join the party By the way The party is December 18 Alright lets waltz this out cause Cause when you know you know And when youre old youre old Like Hollywood and me that diamond on your ring The soul that you bring to the table One that makes me sing In a minor key Diamond on your ring Cause when you know you know When you know you know
marjorie,Taylor Swift,grief,Never be so kind you forget to be clever Never be so clever you forget to be kind And if I didnt know better Id think you were talking to me now If I didnt know better Id think you were still around What died didnt stay dead What died didnt stay dead Youre alive youre alive in my head What died didnt stay dead What died didnt stay dead Youre alive so alive Never be so polite you forget your power Never wield such power you forget to be polite And if I didnt know better Id think you were listening to me now If I didnt know better Id think you were still around What died didnt stay dead What died didnt stay dead Youre alive youre alive in my head What died didnt stay dead What died didnt stay dead Youre alive so alive The autumn chill that wakes me up You loved the amber skies so much Long limbs and frozen swims Youd always go past where our feet could touch And I complained the whole way there The car ride back and up the stairs I shouldve asked you questions I shouldve asked you how to be Asked you to write it down for me Shouldve kept every grocery store receipt Cause every scrap of you would be taken from me Watched as you signed your name Marjorie All your closets of backlogged dreams And how you left them all to me What died didnt stay dead What died didnt stay dead Youre alive youre alive in my head What died didnt stay dead What died didnt stay dead Youre alive so alive And if I didnt know better Id think you were singing to me now If I didnt know better Id think you were still around I know better But I still feel you all around I know better But youre still around
marmalade,nep,situationship,Your voice curves down my spine What happened? Why are you still mine? So confused but thats okay Maybe theres another way Please I dont even like the way I am these days Softly your teardrops fall And draw me back in Someday Ill say something But I choke up without a reason Suddenly youre nicotine and please I dont wanna watch my heart break And please have the decency to say it Marmalade are you making out with someone? Marmalade are you making out with someone else? Other than myself? Its okay just tell me Marmalade are you loving someone? Marmalade are you having fun with someone else? Are you doing it to satisfy yourself? Im sorry Your voice curves down my spine And Im wondering why are you still mine? Did you like just staying me and you forever Forever just a few I guess it wasnt right Oh the stars are crossed that must be it Trying to protect whats left Cuz Ive been confused about everything I do with you Oh and you Do you even need me too? What am I to you? Marmalade are you making out with someone? Marmalade are you making out with someone Else? Other than myself? Its okay just tell me Marmalade are you loving someone? Marmalade are you having fun with someone else? Are you doing it to satisfy yourself? Im sorry I choke up without a reason suddenly words lose their meaning Can I trust you with all? I have no self control Marmalade are you making out with someone? Marmalade are you making out with someone else? Someone else? Marmalade are you loving someone? Marmalade do you have your hands on someone else? Someone else? 
Maroon,Taylor Swift,heartbreak,When the morning came we were cleaning incense off your vinyl shelf Cause we lost track of time again Laughing with my feet in your lap Like you were my closest friend Howd we end up on the floor anyway? You say Your roommates cheapass screwtop rose thats how I see you every day now And I chose you The one I was dancin with In New York no shoes Looked up at the sky and it was The burgundy on my Tshirt when you splashed your wine into me And how the blood rushed into my cheeks so scarlet it was The mark you saw on my collarbone the rust that grew between telephones The lips I used to call home so scarlet it was maroon When the silence came we were shaking blind and hazy How the hell did we lose sight of us again? Sobbin with your head in your hands Aint that the way shit always ends? You were standin holloweyed in the hallway Carnations you had thought were roses thats us I feel you no matter what The rubies that I gave up And I lost you The one I was dancin with In New York no shoes Looked up at the sky and it was maroon The burgundy on my Tshirt when you splashed your wine into me And how the blood rushed into my cheeks so scarlet it was maroon The mark you saw on my collarbone the rust that grew between telephones The lips I used to call home so scarlet it was maroon And I wake with your memory over me Thats a real fucking legacy legacy it was maroon And I wake with your memory over me Thats a real fucking legacy to leave The burgundy on my Tshirt when you splashed your wine into me And how the blood rushed into my cheeks so scarlet it was maroon The mark you saw on my collarbone the rust that grew between telephones The lips I used to call home so scarlet it was maroon It was maroon It was maroon
Mastermind,Taylor Swift,crush,Once upon a time the planets and the fates And all the stars aligned You and I ended up in the same room At the same time And the touch of a hand lit the fuse Of a chain reaction of countermoves To assess the equation of you Checkmate I couldnt lose What if I told you none of it was accidental And the first night that you saw me nothing was gonna stop me? I laid the groundwork and then just like clockwork The dominoes cascaded in a line What if I told you Im a mastermind? And now youre mine It was all by design Cause Im a mastermind You see all the wisest women Had to do it this way Cause we were born to be the pawn In every lovers game If you fail to plan you plan to fail Strategy sets the scene for the tale Im the wind in our freeflowing sails And the liquor in our cocktails What if I told you none of it was accidental And the first night that you saw me I knew I wanted your body? I laid the groundwork and then just like clockwork The dominoes cascaded in a line What if I told you Im a mastermind? And now youre mine It was all my design Cause Im a mastermind No one wanted to play with me as a little kid So Ive been scheming like a criminal ever since To make them love me and make it seem effortless This this the first time Ive felt the need to confess And I swear Im only cryptic and Machiavellian cause I care So I told you none of it was accidental And the first night that you saw me nothing was gonna stop me I laid the groundwork and then saw a wide smirk On your face you knew the entire time You knew that Im a mastermind And now youre mine Yeah all you did was smile Cause Im a mastermind
Maybe You're The Reason,The Japanese House,religion,Now tell me something Is there a point to this? Or are we living for the feeling When we look back On what we did and reminisce? 'Cause I’ve looked within and I've read But instead I keep focusing On just how thin I can get Now I'm looking for something else I found myself: I’m someone else I keep looking for something Even though I know that it's not there (Maybe you're the reason) Every time I try to figure it out You're the only thing I can think about (Maybe you're the reason) And I think I'm dying 'Cause this can't be living Should I be searching for Some kind of meaning? Apathy’s a funny feeling I turned my gaze to the ceiling Thanked a God I don’t believe in For the scene outside I tried my best at sleeping but My dreams were unappealing So I searched for people in the landscape Passers by I keep looking for something Even though I know that it's not there (Maybe you’re the reason) Every time I try to figure it out You're the only thing I can think about (Maybe you're the reason) I keep looking for something Even though I know that it's not there (Maybe you’re the reason) Every time I try to figure it out You're the only thing I can think about (Maybe you're the reason)
Me & Me,The Beaches,empowerment,"I know a girl who spent a year and a half crying in the bottom of a bathtub It was really such a bad look Then on New Year's Eve, someone yelled 10, 9, 8 Everybody kissed then she punched them in the face, ooh 'Cause everybody's gotta find somebody, that's the point in every movie You don't wanna end up like a sad spinster Just wasting away Find yourself a mister Yeah, that's what they say That's what they say That sounds pretty shitty And I'm pretty pretty Sexy in the city Save your pity, bitch It's kinda fun just Me and me Table for me and me Hanging with me and me Finally free Won't waste my life Self-loathing Happy I'm going home with me and me I don't care, get out my face if you don't like it Asking for a friend If I go twenty-seven years with someone who treats me like shit Instead of going out with my girls fuckin' L-I-V-I-N Is it really such a sin? Is it really not a win? 'Cause I'd rather be dead Than with 99% of all men When I'm with myself, it's honestly zen Might as well be my girlfriend It's kinda fun just Me and me Table for me and me Hanging with me and me Finally free Won't waste my life Self-loathing Happy I'm going home with me and me Me and me Table for me and me Hanging with me and me Finally free Won't waste my life Self-loathing Happy I'm going home with me and me I don't care, get out my face if you don't like it I don't care, get out my face if you don't like it"
Middleman,Laura Elliot,unrequited,I dont know how to say this But can I kiss you in your room? I only dressed up for this party To finally talk to you And if I drink enough You can see it in my eyes And if I think enough Maybe you could read my mind oh Baby know I want you bad I think I had the best days of my life with you But timings fucked Ive learned to trust My instincts when it comes to you And they say Run But I wont run No I wont run So I stand still Ive pictured every outcome Replayed em in my head But theres too many people in this room I fall down in the corner Im consumed Next to a friend who loves me But hes tired of being a middleman And if I drink enough You can see it in my eyes And if I think enough Maybe you could read my mind oh Baby know I want you bad I think I had the best days of my life with you But timings fucked Ive learned to trust My instincts when it comes to you And they say Run Oh they say Run But I wont run So I stand still Dont wanna go home but I wont stay so So Ill put on my best headphones And Ill dance alonelone Dont wanna go home but I wont stay so So Ill put on my best headphones And Ill dance alone Dont wanna go home but I wont stay so So Ill put on my best headphones And Ill dance alone
Midnight Rain,Taylor Swift,toxic relationship,Rain he wanted it comfortable I wanted that pain He wanted a bride I was making my own name Chasing that fame He stayed the same All of me changed like midnight My town was a wasteland Full of cages full of fences Pageant queens and big pretenders But for some it was paradise My boy was a montage A slowmotion love potion Jumping off things in the ocean I broke his heart cause he was nice He was sunshine I was midnight rain He wanted it comfortable I wanted that pain He wanted a bride I was making my own name Chasing that fame He stayed the same All of me changed like midnight It came like a postcard Picture perfect shiny family Holiday peppermint candy But for him its every day So I peered through a window A deep portal time travel All the love we unravel And the life I gave away Cause he was sunshine I was midnight rain He wanted it comfortable I wanted that pain He wanted a bride I was making my own name Chasing that fame He stayed the same All of me changed Like midnight Rain he wanted it comfortable I wanted that pain He wanted a bride I was making my own name Chasing that fame He stayed the same All of me changed Like midnight I guess sometimes we all get Just what we wanted just what we wanted And he never thinks of me Except when Im on TV I guess sometimes we all get Some kind of haunted some kind of haunted And I never think of him Except on midnights like this midnights like this
Million Years Ago,Adele,growing up,"I only wanted to have fun Learning to fly, learning to run I let my heart decide the way When I was young Deep down, I must have always known That this would be inevitable To earn my stripes, I'd have to pay And bare my soul I know I'm not the only one Who regrets the things they've done Sometimes I just feel it's only me Who can't stand the reflection that they see I wish I could live a little more Look up to the sky, not just the floor I feel like my life is flashing by And all I can do is watch and cry I miss the air, I miss my friends I miss my mother, I miss it when Life was a party to be thrown But that was a million years ago When I walk around all of the streets Where I grew up and found my feet They can't look me in the eye It's like they're scared of me I try to think of things to say Like a joke or a memory But they don't recognize me now In the light of day I know I'm not the only one Who regrets the things they've done Sometimes I just feel it's only me Who never became who they thought they'd be I wish I could live a little more Look up to the sky, not just the floor I feel like my life is flashing by And all I can do is watch and cry I miss the air, I miss my friends I miss my mother, I miss it when Life was a party to be thrown But that was a million years ago A million years ago"
mirrorball,Taylor Swift,mental health,I want you to know Im a mirrorball Ill show you every version of yourself tonight Ill get you out on the floor Shimmering beautiful And when I break its in a million pieces Hush When no one is around my dear Youll find me on my tallest tiptoes Spinning in my highest heels love Shining just for you Hush I know they said the end is near But Im still on my tallest tiptoes Spinning in my highest heels love Shining just for you I want you to know Im a mirrorball I can change everything about me to fit in You are not like the regulars The masquerade revelers Drunk as they watch my shattered edges glisten Hush When no one is around my dear Youll find me on my tallest tiptoes Spinning in my highest heels love Shining just for you Hush I know they said the end is near But Im still on my tallest tiptoes Spinning in my highest heels love Shining just for you And they called off the circus Burned the disco down When they sent home the horses And the rodeo clowns Im still on that tightrope Im still trying everything to get you laughing at me Im still a believer but I dont know why Ive never been a natural All I do is try try try Im still on that trapeze Im still trying everything To keep you looking at me Because Im a mirrorball Im a mirrorball Ill show you every version of yourself Tonight
Miss Movin' On,Fifth Harmony,moving on,"I'm breaking down, gonna start from scratch Shake it off like an Etch-A-Sketch My lips are saying goodbye My eyes are finally dry I'm not the way that I used to be I took the record off repeat You killed me, but I survived And now I'm coming alive I'll never be that girl again, no oh oh I'll never be that girl again, no oh oh My innocence is wearing thin But my heart is growing strong So call me, call me, call me Miss movin' on, oh oh oh Miss movin' on, oh oh oh, yeah I broke the glass that surrounded me (Surrounded me) I ain't the way you remember me (Remember me) I was such a good girl So fragile, but no more. I jumped the fence to the other side (The other side) My whole world was electrified (Electrified) Now I'm no longer afraid It's Independence Day (Independence Day) I'll never be that girl again, no oh oh I'll never be that girl again, no oh oh My innocence is wearing thin But my heart is growing strong So call me, call me, call me Miss movin' on Everything is changing and I never wanna go back to the way it was (The way it was) I'm finding who I am and who I am from here on out is gonna be enough (Gonna be enough) It's gonna be enough I'll never be that girl again, no oh oh I'll never be that girl again, oh oh oh My innocence is wearing thin But my heart is growing strong So call me, call me, call me Miss movin' on (on) oh oh oh Miss movin' on (On and on and on and on and on) oh oh oh Miss movin' on (on and on and on and on) oh oh oh (On and on and on and on) Miss movin' on, oh oh oh (Hey yeah) I'm movin' on"
miss u this time,girlhouse,moving on,"you go off to work before the sun comes up i think you told me once you know you're the one am i your overgrown dollar store pothos baby water me, half awake I'm all yours taking everything cuz that's what you want take your time with me cuz it's all i got when you're holding me sometimes it's too tight i wanna bag it up toss it out state side i might have to miss you this time i might have to miss you this time this time this time snow on i don't know some two way in Vermont sturdy herringbone in a New England town on a merry go praying on delights you'll never pull the plug guess it's up to me tonight if you ever find yourself"
More,The Greeting Committee,love,I just want a pocket to put my heart in Dont need much but I need your lovin Ooh Ive been so down without you around Hold me up so I put the work in Knew itd be hard know that its worth it Ooh Ive been wearing myself out But there you go again driving me mad when But there you go again driving me mad when You oh Youre making me love you more Than all of the days before Know I love you more Know I love you more I just want a pocket to put my heart in Set to pick yours always been certain Oh howd you ever forget? That all that Ive ever been good at Is giving my all just to deserve this Oh Im not even close But there you go again driving me mad when But there you go again driving me mad when You oh Youre making me love you more Than all of the days before Know I love you more Know I love you more You oh Youre making me better than I ever couldve been on my own Swear that I love you more Know I love you more oh You know that I love you more Ooh I swear that I love you more Just know that I love you more
Move On Too,Mickey Darling,jealousy,You moved on fast and I just couldnt keep up I wiped my ass with every ounce of your love Yeah youre in my past but Im still bringing you up Cause I finished fast but clearly not fast enough enough Ive got enough heartbreak to survive off of I think Im going to be okay my love I fucking better be okay But if Im not thats fine Do you wanna know a secret That I never told you Probably wont believe it but I could move on too if I want to but I dont want to Look for someone new but Im not like you Do what you want to go fuck your new dude And I cant blame you cause I would move on too if I was you Im happy for you Jealous a bit too I wanted more you I used to hate you but now I thank you For all the fucked up shit you put me through I made history you made babies I act on TV you act crazy I regret leaving can you blame me Just maybe I love the heartbreak cause its nonstop nonstop Im sick of you I need a cough drop cough drop I think Im going to be okay my love I fucking better be okay If Im not thats fine And do you want to know a secret That I never told you Probably wont believe it but I could move on too if I want to but I dont want to Look for someone new but Im not like you Do what you want to go fuck your new dude And I cant blame you cause I would move on too if I was you Im happy for you Jealous a bit too I wanted more you I used to hate you but now I thank you For all the fucked up shit you put me through You changed your hair I changed my name We grew apart oh what a shame Wasnt prepared for this heartbreak Its been 3 years still not okay You moved on fast I cant be mad Id leave me too if I had the chance You miss my jokes I miss your laugh Please understand I could move on too if I want to but I dont want to Look for someone new but Im not like you Do what you want to go fuck your new dude And I cant blame you cause I would move on too if I was you Im happy for you Jealous a bit too I wanted more you I used to hate you but now I thank you For all the fucked up shit you put me through
Moving On,Naomi Banks,moving on,Looking back it's not my fault And I don't intend to take the blame Looking round at the damage you caused And I don't want to say it but It's been a little easier since you left I slept a little better without you in my bed Don't get me wrong I meant it Every time I said I love you But I'm moving on Im moving on You've done nothing wrong I loved every part But I need a new start Im moving on You've done nothing wrong I loved every part But I need a new start I wake up with thoughts of you I imagine someone new Lying by your side holding your hand And it makes me happy It's been a little easier since you left I slept a little better without you in my bed And I know I meant it Every time I said I love you But I'm moving on I'm moving on You've done nothing wrong I loved every part But I want a new start Im moving on You've done nothing wrong I loved every part But I need a new start Not so bitter but I know you are right now You need your space and a bit of time to calm down I'm sorry if I thought I wasn't sure about this But now I know I miss you but the best thing I ever did was let you go I'm moving on You've done nothing wrong I loved every part But I want a new start
Mr. Brightside,The Killers,unrequited,"Coming out of my cage and I've been doing just fine Gotta, gotta be down, because I want it all It started out with a kiss, how did it end up like this? It was only a kiss, it was only a kiss Now I'm falling asleep and she's calling a cab While he's having a smoke and she's taking a drag Now they're going to bed and my stomach is sick And it's all in my head, but she's touching his Chest now, he takes off her Dress now, let me go And I just can't look, it's killing me They're taking control Jealousy, turning saints into the sea Swimming through sick lullabies, choking on your alibis But it's just the price I pay, destiny is calling me Open up my eager eyes, 'cause I'm Mr. Brightside I'm coming out of my cage and I've been doing just fine Gotta, gotta be down, because I want it all It started out with a kiss, how did it end up like this? It was only a kiss, it was only a kiss Now I'm falling asleep and she's calling a cab While he's having a smoke and she's taking a drag Now they're going to bed and my stomach is sick And it's all in my head, but she's touching his Chest now, he takes off her Dress now, let me go 'Cause I just can't look, it's killing me They're taking control Jealousy, turning saints into the sea Swimming through sick lullabies, choking on your alibis But it's just the price I pay, destiny is calling me Open up my eager eyes, 'cause I'm Mr. Brightside I never... I never... I never... I never..."
Mr. Incorrect,Malcolm Todd,moving on,Babe I dont wanna talk I give you my love You tell me goodbye Yeah yeah One two three uh oh oh Babe I dont wanna talk I give you my love you tell me goodbye Were calling it off and now I feel great I got a new friend who kisses my face Im good Im doing alright I dont gotta call we dont gotta fight Ill see you around well maybe I wont That is okay cause baby Im on Baby Im on Baby Im on Maybe its fair Im moving along Cause Ive been complaining for months and months Ill go slow but you know I could do it with anyone else Im thanking you for having me Now Im on and I made a new song Couldnt fuck fuck Babe I dont wanna talk I give you my love you tell me goodbye Were calling it off and now I feel great I got a new friend who kisses my face Im good Im doing alright I dont gotta call we dont gotta fight Ill see you around well maybe I wont That is okay cause baby Im on Im on Im on Im on I thought I was right but youre never wrong Im on Im on Im on I thought I was right but youre never wrong Im on Im on Im on I thought I was right but youre never wrong Im on Im on Im on I thought I was right but youre never wrong And Im rather mad cause Im always cool And Id rather do this than go back to school Id tell you I miss you but Im in a rush Dont tell me my problems I dont give a fuck
Murder Party,NOT THE MAIN CHARACTERS,revenge,"You say step on my neck Your eyes are to die for Literally, slay me What else is this knife for? It's 3 a.m You say to come over I'm on my way To come run you over To all the fuck boys I've slept with before Who said that they'd call Smash your head into a wall (oops) Come be my guest, welcome to the murder party No boys will be left, you can count this as your warning You don't think I will, but I'll go kill Bill Ya, I'm the host, welcome to my murder party Welcome! Do you want some tea? I'll put the kettle on Just make yourself at home Something about you makes me aggressive I like revenge, call me Uma Thurman (call me Uma Thurman) Can't wait for your death, I'll make it festive Just like the rest, I'll manifest it Like karma, I'm a bitch, duh To all of the fuck boys I've slept with before Who said that they'd call Smash your head into a wall Come be my guest, welcome to the murder party No boys will be left, you can count this as your warning You don't think I will, but I'll go kill Bill Ya, I'm the host, welcome to my murder party Oh my God (I'll kill you) We start on time, so don't be late Ask nice and watch what you say It's our turn to play a game Ooh-ooh-ooh Come be my guest, welcome to the murder party No boys will be left, you can count this as your warning You don't think I will, but I'll go kill Bill Ya, I'm the host, welcome to my murder party Don't you fuck with me Don't you fuck with me Don't you fuck with me Roar Don't you fuck with me Don't you fuck with me Don't you fuck with me"
Music Box,Shallow Alcove,growing up,Sorry that Im crying A lady on the train had hands that look like grandmas Havent been home in a while Sometimes I just wonder Where I left all my pieces My scarfs in Connors car and my hearts wherever you are tonight A music box and Im the dancer Spinning round without an answer Singing to a song that no one hears Trying not to waste these years I wish that I was just Small enough to carry when Im sleeping in the van on Another endless day long drive When I was a kid Id Wake up in my dads arms Hes strong and Im too little to know it could be the last time A music box and Im the dancer Spinning round without an answer Singing to a song that no one hears Trying not to waste these years When Im Old I know Im Gonna wish I Could be Playing tonight Just one more time When I Die Ill know I Spent all my life Making Use of my light I know Ill never buy a House with all my pennies but At least I went to Paris And know I wholeheartedly tried A music box and Im the dancer Spinning round without an answer Singing to a song that no one hears The days are just like wild horses And even when I try to forge them Theyre always running far away from here Just trying not to waste these years
My I Love You,Frankie Cosmos,love,I do what I have to do This is when I say my I love you This is when I say my I love you I do what I have to do This is when I say my I love you This is when I say my I love you And if I die tell the world How he talks to me like Ive imagined How he talks to me like Ive imagined It all It all If I drop a pea Youre not here to pick it up for me In the kitchen I miss him Jojo Jojo Jojo Jojo Jojo Jo I do what I have to do This is when I say my I love you
My Kink is Karma,Chappell Roan,revenge,We broke up on a Tuesday Kicked me out with the rent paid Ruined my credit stole my cute aesthetic Who knew that wed let it get this bad when it ended Its comical bridges you burn If karmas real hope its your turn I heard from Katie youre losing it lately Moved back with your parents and date girls who are 18 Its hot when you have a meltdown In the front of your house and youre getting kicked out Its hot when youre drinking downtown And youre getting called out cause youre running your mouth Oh god and its coming around Yeah its coming around yeah its coming around Oh god oh god People say Im jealous but my kink is watching You ruin your life You losing your mind You dyeing your hair People say Im jealous but my kink is watching You crashing your car You breaking your heart You thinking I care People say Im jealous but my kink is karma Wishing you the best in the worst way Using your distress as foreplay Six months since April and Im doing better No need to be hateful in your fake Gucci sweater But its hot when you have a meltdown In the front of your house and youre getting kicked out Its hot when youre drinking downtown And youre getting called out cause youre running your mouth Oh god and its coming around Yeah its coming around yeah its coming around Oh god oh god People say Im jealous but my kink is watching You ruin your life You losing your mind You dyeing your hair People say Im jealous but my kink is watching You crashing your car You breaking your heart You thinking I care People say Im jealous but my kink is karma Its hot when youre going through hell And youre hating yourself Im feeling myself Its hot when you know that youre caught And youre getting pissed off its getting me off Its hot its hot Oh god oh god Oh god People say Im jealous but my kink is watching You ruin your life You losing your mind You dyeing your hair your hair People say Im jealous but my kink is watching You crashing your car You breaking your heart You thinking I care People say Im jealous but my kink is karma
my tears ricochet,Taylor Swift,grief,We gather here we line up weepin in a sunlit room And if Im on fire youll be made of ashes too Even on my worst day did I deserve babe All the hell you gave me? Cause I loved you I swear I loved you Til my dying day I didnt have it in myself to go with grace And youre the hero flying around saving face And if Im dead to you why are you at the wake? Cursing my name wishing I stayed Look at how my tears ricochet We gather stones never knowing what theyll mean Some to throw some to make a diamond ring You know I didnt want to have to haunt you But what a ghostly scene You wear the same jewels that I gave you As you bury me I didnt have it in myself to go with grace Cause when Id fight you used to tell me I was brave And if Im dead to you why are you at the wake? Cursing my name wishing I stayed Look at how my tears ricochet And I can go anywhere I want Anywhere I want just not home And you can aim for my heart go for blood But you would still miss me in your bones And I still talk to you when Im screaming at the sky And when you cant sleep at night you hear my stolen lullabies I didnt have it in myself to go with grace And so the battleships will sink beneath the waves You had to kill me but it killed you just the same Cursing my name wishing I stayed You turned into your worst fears And youre tossing out blame drunk on this pain Crossing out the good years And youre cursing my name wishing I stayed Look at how my tears ricochet
Nana,The 1975,grief,I wish youd walk in again Imagine if you just did Id fill you in on the things you missed Oh sleepless nights a grown up man dressed in white Who I thought might just save your life But he couldnt so you died I dont like it now youre dead Its not the same when I scratch my own head I havent got the nails for it And I know that God doesnt exist And all of the palaver surrounding it But I like to think you hear me sometimes So I reached for a borrowed fleece From my dad or from Denise Always trying to keep warm when youre the sun I sat with you beside your bed and cried For things that I wish Id said You still had your nose red And if I live past seventytwo I hope Im half as cool as you I got my pen and thought that Id write A melody and line for you tonight I think thats how I make things feel alright Made in my room this simple tune Will always keep me close to you The crowds will sing their voices ring And its like you never left But Im bereft you see I think you can tell I havent been doing too well
